,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Makkah al Mukarramah,5,SA,1612026821,36,21.4267,39.8261,21.71,3.58
81,Washington,44,US,1612026546,94,47.5001,-120.5015,1.67,1.24
82,Verkhnevilyuysk,100,RU,1612026826,81,63.4453,120.3167,-40.2,0.99
83,Pekan,20,MY,1612026827,83,3.4836,103.3996,24.0,1.03
84,Kismayo,1,SO,1612026829,75,-0.3582,42.5454,25.17,7.31
85,Mahébourg,75,MU,1612026831,89,-20.4081,57.7,26.0,2.57
86,Champerico,20,GT,1612026672,58,14.3,-91.9167,30.0,4.12
87,Clyde River,1,CA,1612026623,76,70.4692,-68.5914,-29.0,2.64
88,Constitución,90,CL,1612026664,88,-35.3333,-72.4167,17.52,0.99
89,Port Alfred,0,ZA,1612026794,85,-33.5906,26.891,21.11,0.45
90,Ji’an,98,CN,1612026839,65,27.1172,114.9793,10.43,1.35
91,Punta Arenas,40,CL,1612026609,51,-53.15,-70.9167,14.0,12.35
92,Trairi,9,BR,1612026630,57,-3.2778,-39.2689,31.03,7.05
93,Sur,0,OM,1612026843,57,22.5667,59.5289,19.78,4.39
94,Petatlán,40,MX,1612026778,70,17.5167,-101.2667,30.0,2.03
95,Coquimbo,20,CL,1612026772,73,-29.9533,-71.3436,20.0,6.69
96,Arraial do Cabo,0,BR,1612026850,48,-22.9661,-42.0278,34.0,8.75
97,Lata,85,PT,1612026852,86,40.1629,-8.3327,13.33,3.13
98,Nome,1,US,1612026853,77,64.5011,-165.4064,-25.0,3.09
99,Airai,100,TL,1612026855,100,-8.9266,125.4092,16.49,2.24
100,Zaysan,74,KZ,1612026858,86,47.4667,84.8667,-18.21,0.97
101,Kinsale,75,IE,1612026860,81,51.7075,-8.5306,6.11,6.17
102,Upernavik,2,GL,1612026660,86,72.7868,-56.1549,-23.21,3.48
103,Punta Arenas,40,CL,1612026609,51,-53.15,-70.9167,14.0,12.35
104,Hermanus,0,ZA,1612026866,76,-34.4187,19.2345,22.22,1.34
105,Puerto Ayora,0,EC,1612026606,70,-0.7393,-90.3518,29.0,6.69
106,Maragogi,92,BR,1612026869,66,-9.0122,-35.2225,28.75,4.95
107,Gwadar,0,PK,1612026871,63,25.1216,62.3254,20.65,4.13
108,Kaitangata,20,NZ,1612026639,91,-46.2817,169.8464,7.22,1.34
109,Ostrovnoy,100,RU,1612026874,95,68.0531,39.5131,-11.31,5.11
110,Dulce Grande,2,MX,1612026876,29,23.0,-102.1667,21.05,2.18
111,Asheboro,1,US,1612026877,35,35.7079,-79.8136,3.33,2.04
112,Yerbogachën,87,RU,1612026879,80,61.2767,108.0108,-40.51,1.93
113,Punta Arenas,40,CL,1612026609,51,-53.15,-70.9167,14.0,12.35
114,Lloydminster,90,CA,1612026882,85,53.2835,-110.0016,-15.0,2.06
115,Port Elizabeth,0,ZA,1612026550,73,-33.918,25.5701,22.0,5.66
116,Cape Town,20,ZA,1612026580,47,-33.9258,18.4232,26.0,5.14
117,Chumikan,100,RU,1612026655,82,54.7183,135.315,-25.27,9.59
118,Mossamedes,88,AO,1612026888,71,-15.1961,12.1522,24.34,5.44
119,Mount Gambier,5,AU,1612026741,88,-37.8333,140.7667,13.0,3.09
120,Ilulissat,40,GL,1612026606,60,69.2167,-51.1,-16.0,3.6
121,Paita,0,PE,1612026893,45,-5.0892,-81.1144,32.0,5.66
122,Bangolo,21,CI,1612026895,28,7.0069,-7.475,35.23,1.33
123,Narsaq,75,GL,1612026652,30,60.9167,-46.05,5.0,15.95
124,Tataouine,0,TN,1612026900,18,32.9297,10.4518,23.0,5.66
125,Vila Velha,20,BR,1612026749,55,-20.3297,-40.2925,31.0,7.72
126,Abu Kamal,48,SY,1612026904,45,34.4506,40.9171,11.88,3.63
127,Puerto Ayora,0,EC,1612026606,70,-0.7393,-90.3518,29.0,6.69
128,Cam Ranh,20,VN,1612026909,69,11.9214,109.1591,24.0,4.63
129,Alofi,100,NU,1612026660,100,-19.0595,-169.9187,24.0,3.09
130,Cherskiy,5,RU,1612026912,83,68.75,161.3,-37.26,1.7
131,Saint-François,90,FR,1612026694,82,46.4154,3.9054,11.0,1.03
132,Pangnirtung,1,CA,1612026683,77,66.1451,-65.7125,-23.0,1.19
133,San Patricio,75,US,1612026787,69,28.017,-97.5169,24.0,12.35
134,Caravelas,6,BR,1612026918,53,-17.7125,-39.2481,29.45,4.15
135,Mangai,100,CD,1612026920,90,-4.05,19.5333,24.13,1.66
136,Port Alfred,0,ZA,1612026794,85,-33.5906,26.891,21.11,0.45
137,Peniche,69,PT,1612026925,73,39.3558,-9.3811,14.44,6.26
138,Tiznit Province,0,MA,1612026671,53,29.5833,-9.5,17.66,4.13
139,Kapaa,40,US,1612026928,88,22.0752,-159.319,22.0,7.72
140,Puerto Ayora,0,EC,1612026606,70,-0.7393,-90.3518,29.0,6.69
141,Imbituba,0,BR,1612026931,74,-28.24,-48.6703,28.0,4.12
142,Olafsvik,36,IS,1612026933,91,64.8945,-23.7142,-4.71,9.23
143,Bajil,71,YE,1612026935,73,15.0584,43.2851,24.1,2.42
144,Santo Antônio do Içá,1,BR,1612026936,47,-3.1022,-67.9397,33.8,2.3
145,Hong Kong,1,HK,1612026806,77,22.2855,114.1577,16.67,7.54
146,Aklavik,75,CA,1612026694,76,68.2191,-135.0107,-30.0,1.03
147,Salinas,90,US,1612026941,76,36.6777,-121.6555,10.0,6.69
148,Port Lincoln,9,AU,1612026943,81,-34.7333,135.8667,15.35,5.69
149,Aksarka,100,RU,1612026944,85,66.5606,67.7975,-29.87,4.56
150,Port Alfred,0,ZA,1612026794,85,-33.5906,26.891,21.11,0.45
151,Cape Town,20,ZA,1612026580,47,-33.9258,18.4232,26.0,5.14
152,Batagay,90,RU,1612026952,76,67.6333,134.6333,-43.67,0.35
153,Menongue,99,AO,1612026954,85,-14.6585,17.691,21.49,2.12
154,Goderich,100,CA,1612026751,68,43.7501,-81.7165,-3.0,2.57
155,São Filipe,100,CV,1612026957,55,14.8961,-24.4956,24.95,4.81
156,Marawi,99,PH,1612026960,92,7.9986,124.2928,19.19,1.07
157,Soro,5,IN,1612026962,68,21.2881,86.6858,17.59,1.0
158,Khatanga,4,RU,1612026964,77,71.9667,102.5,-42.97,0.71
159,East London,40,ZA,1612026967,78,-33.0153,27.9116,23.0,3.6
160,La Ronge,52,CA,1612026968,85,55.1001,-105.2842,-13.0,0.79
161,Lokoja,0,NG,1612026970,12,7.8024,6.743,37.16,2.12
162,High Level,1,CA,1612026779,83,58.5169,-117.136,-29.0,1.03
163,Ekibastuz,99,KZ,1612026973,91,51.6667,75.3667,-9.4,4.85
164,Mehamn,100,NO,1612026975,97,71.0357,27.8492,-3.31,9.9
165,Punta Arenas,40,CL,1612026609,51,-53.15,-70.9167,14.0,12.35
166,Kavieng,41,PG,1612026978,77,-2.5744,150.7967,27.95,6.41
167,Tres Arroyos,100,AR,1612026980,34,-38.3739,-60.2798,20.44,7.02
168,Torbay,90,CA,1612026981,86,47.6666,-52.7314,-0.56,8.23
169,Vaini,90,TO,1612026983,94,-21.2,-175.2,23.0,2.06
170,Krasnosel'kup,36,RU,1612026986,78,65.7,82.4667,-36.28,3.59
171,Klaksvík,75,FO,1612026989,93,62.2266,-6.589,2.0,1.03
172,Hithadhoo,78,MV,1612026981,75,-0.6,73.0833,28.27,5.9
173,Sundby,20,DK,1612026993,10,54.864,11.793,-0.56,4.65
174,Ushtobe,26,KZ,1612026994,86,45.2514,77.9838,-8.43,2.08
175,Puerto Ayora,0,EC,1612026606,70,-0.7393,-90.3518,29.0,6.69
176,Ribeira Grande,75,PT,1612026997,88,38.5167,-28.7,18.0,7.72
177,New Ross,100,IE,1612026999,96,52.3967,-6.9367,5.0,2.68
178,Sechura,7,PE,1612027001,49,-5.5569,-80.8222,28.71,3.58
179,Katobu,100,ID,1612027004,96,-4.9408,122.5276,23.79,2.48
180,Beringovskiy,100,RU,1612027005,89,63.05,179.3167,-24.92,6.68
181,Shache,0,CN,1612027007,83,38.4167,77.2406,-3.73,2.04
182,LaBelle,75,US,1612027009,49,26.7617,-81.4384,23.0,3.09
183,Samarai,100,PG,1612027010,75,-10.6167,150.6667,28.13,7.33
184,Carora,14,VE,1612027012,31,10.1755,-70.0827,32.43,4.94
185,Mar del Plata,90,AR,1612027013,55,-38.0023,-57.5575,18.0,10.29
186,New Norfolk,7,AU,1612027015,81,-42.7826,147.0587,11.67,1.13
187,Nantucket,20,US,1612026988,68,41.2835,-70.0995,-7.0,6.69
188,Vaitape,67,PF,1612027020,69,-16.5167,-151.75,26.89,0.85
189,Punta Arenas,40,CL,1612026609,51,-53.15,-70.9167,14.0,12.35
190,Vila Franca do Campo,75,PT,1612026616,94,37.7167,-25.4333,18.33,6.69
191,Ternate,100,ID,1612027025,81,0.8,127.4,25.45,4.3
192,Cape Town,20,ZA,1612026580,47,-33.9258,18.4232,26.0,5.14
193,Concepción del Uruguay,100,AR,1612027028,75,-32.4825,-58.2372,24.55,4.45
194,Chingirlau,86,KZ,1612027030,97,51.095,54.0814,-7.64,1.62
195,Ouadda,0,CF,1612027031,21,8.0777,22.4007,27.75,2.64
196,Cabo San Lucas,1,MX,1612026954,60,22.8909,-109.9124,23.0,1.54
197,Codrington,20,AU,1612027036,81,-38.2667,141.9667,13.27,2.11
198,Juneau,75,US,1612026909,86,58.3019,-134.4197,-0.56,2.63
199,Gushi,93,CN,1612027041,51,34.6425,109.5843,5.72,1.42
200,Wooster,20,US,1612026955,63,40.8051,-81.9351,-3.89,5.14
201,Bima,100,ID,1612027044,88,-8.4667,118.7167,24.32,1.25
202,Camargo,2,MX,1612027046,22,27.6667,-105.1667,22.36,9.05
203,Hasaki,20,JP,1612027047,68,35.7333,140.8333,-3.0,1.54
204,New Norfolk,7,AU,1612027015,81,-42.7826,147.0587,11.67,1.13
205,São José da Coroa Grande,93,BR,1612027050,66,-8.8978,-35.1478,28.59,4.76
206,Qaanaaq,99,GL,1612027052,72,77.484,-69.3632,-20.69,0.82
207,Makakilo City,1,US,1612027054,83,21.3469,-158.0858,22.0,1.54
208,Xifeng,59,CN,1612027055,90,42.7372,124.7222,-17.1,1.06
209,Thinadhoo,100,MV,1612027057,78,0.5333,72.9333,27.79,7.27
210,Puerto Ayora,0,EC,1612026606,70,-0.7393,-90.3518,29.0,6.69
211,Tiarei,75,PF,1612027060,69,-17.5333,-149.3333,26.0,2.57
212,Isla Mujeres,40,MX,1612027062,53,21.2311,-86.731,26.0,7.2
213,Esperance,0,AU,1612027063,82,-33.8667,121.9,15.0,5.66
214,Lancaster,1,US,1612027065,37,40.2504,-76.2499,-0.56,4.12
215,Hervey Bay,4,AU,1612027067,84,-25.2986,152.8535,22.22,1.79
216,Lebu,4,CL,1612027068,70,-37.6167,-73.65,16.84,4.17
217,Fairbanks,90,US,1612026920,77,64.8378,-147.7164,-22.0,0.62
218,Faanui,70,PF,1612027071,69,-16.4833,-151.75,26.91,0.83
219,Mount Isa,90,AU,1612026696,51,-20.7333,139.5,30.0,1.03
220,Tuatapere,69,NZ,1612027074,80,-46.1333,167.6833,8.89,3.58
221,Penzance,90,GB,1612027076,93,50.1186,-5.5371,10.0,11.83
222,New Norfolk,7,AU,1612027015,81,-42.7826,147.0587,11.67,1.13
223,Forsytheganj,100,BY,1612027079,98,52.6333,29.7333,-4.99,1.78
224,Ponta do Sol,39,PT,1612026465,73,32.6667,-17.1,17.78,1.79
225,Vanderhoof,100,CA,1612026905,95,54.0166,-124.0198,-11.7,0.83
226,Ponta do Sol,39,PT,1612026465,73,32.6667,-17.1,17.78,1.79
227,Whangamata,0,NZ,1612027086,74,-37.2,175.8667,13.89,1.79
228,Atar,26,MR,1612027087,10,20.5169,-13.0499,31.35,5.92
229,Katherine,97,AU,1612027089,83,-14.4667,132.2667,27.0,2.06
230,Kruisfontein,0,ZA,1612027042,69,-34.0033,24.7314,21.67,3.13
231,Makushino,100,RU,1612027092,95,55.2103,67.2442,-7.82,4.36
232,Mar del Plata,90,AR,1612027013,55,-38.0023,-57.5575,18.0,10.29
233,Butaritari,94,KI,1612027095,78,3.0707,172.7902,27.05,7.62
234,Kimbe,93,PG,1612027099,87,-5.5502,150.1429,25.51,2.1
235,Turukhansk,0,RU,1612027100,76,65.8167,87.9833,-34.98,2.27
236,Königs Wusterhausen,75,DE,1612027102,80,52.3014,13.633,-0.56,1.54
237,Luwuk,100,ID,1612027103,64,-0.9516,122.7875,25.47,2.23
238,Ancud,0,CL,1612027107,48,-41.8697,-73.8203,19.0,3.09
239,Kailua,75,US,1612027108,73,21.4022,-157.7394,23.0,6.69
240,Puerto Ayora,0,EC,1612026606,70,-0.7393,-90.3518,29.0,6.69
241,Aykhal,67,RU,1612027111,79,66.0,111.5,-38.36,4.89
242,Grand Gaube,0,MU,1612027113,80,-20.0064,57.6608,26.11,1.34
243,Powell River,90,CA,1612027115,87,49.8496,-124.5361,6.0,5.14
244,New Norfolk,7,AU,1612027015,81,-42.7826,147.0587,11.67,1.13
245,Yumen,0,CN,1612027118,73,40.2833,97.2,-4.16,10.82
246,Waddān,0,LY,1612027119,26,29.1614,16.139,18.99,2.52
247,Sambava,33,MG,1612027121,78,-14.2667,50.1667,26.58,1.19
248,Mar del Plata,90,AR,1612027013,55,-38.0023,-57.5575,18.0,10.29
249,Hilton Head,1,US,1612026901,58,32.2163,-80.7526,13.89,3.09
250,Huarmey,92,PE,1612027126,60,-10.0681,-78.1522,25.02,5.39
251,Kashan,60,IR,1612027128,45,33.9831,51.4364,10.38,1.82
252,Richards Bay,85,ZA,1612027129,80,-28.783,32.0377,25.44,3.02
253,Lorengau,100,PG,1612027131,81,-2.0226,147.2712,27.72,5.67
254,Zhigansk,96,RU,1612027132,75,66.7697,123.3711,-44.0,1.82
255,Arraial do Cabo,0,BR,1612026850,48,-22.9661,-42.0278,34.0,8.75
256,Wanaka,3,NZ,1612027136,69,-44.7,169.15,8.98,2.07
257,Novoagansk,100,RU,1612027139,85,61.9449,76.6625,-30.18,4.86
258,Beidao,66,CN,1612027140,66,34.5686,105.8933,1.19,0.72
259,Atasū,100,KZ,1612026986,89,48.6814,71.6433,-5.34,5.82
260,Flinders,51,AU,1612027144,86,-34.5833,150.8552,22.22,2.68
261,Nampula,90,MZ,1612027145,95,-15.1165,39.2666,22.47,2.21
262,Yar-Sale,100,RU,1612027147,86,66.8333,70.8333,-31.68,7.09
263,Calama,0,CL,1612027148,11,-22.4667,-68.9333,23.0,6.69
264,Ribeira Grande,75,PT,1612026997,88,38.5167,-28.7,18.0,7.72
265,Scarborough,100,GB,1612027152,75,54.2797,-0.4044,2.78,2.24
266,Mahajanga,40,MG,1612027153,74,-15.7167,46.3167,28.0,6.17
267,Rīngas,0,IN,1612027155,38,27.35,75.5667,13.0,1.93
268,Solnechnyy,100,RU,1612027156,89,50.7214,136.6319,-21.71,1.08
269,Puerto Ayora,0,EC,1612026606,70,-0.7393,-90.3518,29.0,6.69
270,Henties Bay,33,NA,1612027160,83,-22.116,14.2845,20.0,1.34
271,Chake Chake,100,TZ,1612027161,79,-5.2459,39.7666,26.1,5.23
272,Nyagan,100,RU,1612027163,89,62.1406,65.3936,-23.93,3.08
273,Faya,0,SA,1612027165,63,18.3851,42.4509,16.0,2.06
274,Ponta do Sol,39,PT,1612026465,73,32.6667,-17.1,17.78,1.79
275,Ngawen,100,ID,1612027168,92,-7.0032,111.3129,23.7,3.09
276,Hosszúhetény,0,HU,1612027169,87,46.1641,18.3508,9.0,1.15
277,Westport,1,US,1612026910,42,41.1415,-73.3579,-3.89,5.66
278,Cape Town,20,ZA,1612026580,47,-33.9258,18.4232,26.0,5.14
279,Acaraú,74,BR,1612026879,60,-2.8856,-40.12,30.63,8.53
280,Lüderitz,0,NA,1612027176,47,-26.6481,15.1594,23.19,12.65
281,Castro,90,BR,1612027000,86,-24.7911,-50.0119,22.57,2.67
282,Talakan,34,RU,1612027179,83,50.3167,130.3667,-33.89,1.03
283,Cayenne,75,GF,1612027181,89,4.9333,-52.3333,27.0,4.63
284,Punta Arenas,40,CL,1612026609,51,-53.15,-70.9167,14.0,12.35
285,New Norfolk,7,AU,1612027015,81,-42.7826,147.0587,11.67,1.13
286,Jasper,90,US,1612027185,93,37.2001,-94.3502,9.0,5.66
287,Pamplona,40,ES,1612027187,81,42.8169,-1.6432,7.0,0.51
288,Port Victoria,100,KE,1612027190,70,0.0939,33.9756,23.85,4.91
289,Joigny,100,FR,1612027192,86,47.9829,3.401,9.44,0.89
290,Alta Floresta,74,BR,1612027193,86,-9.8756,-56.0861,27.11,1.56
291,Cape Town,20,ZA,1612026580,47,-33.9258,18.4232,26.0,5.14
292,Salalah,20,OM,1612027197,56,17.0151,54.0924,23.0,1.54
293,Saint-Augustin,22,CA,1612027198,93,51.226,-58.6502,-1.34,6.76
294,Mata,99,PT,1612027200,90,40.683,-7.4592,10.0,4.47
295,Palembang,97,ID,1612027202,95,-2.9167,104.7458,23.81,2.0
296,Xihe,39,CN,1612027203,59,31.6864,113.4659,7.78,1.24
297,Puerto Ayora,0,EC,1612026606,70,-0.7393,-90.3518,29.0,6.69
298,Kirgiz-Miyaki,98,RU,1612027206,98,53.6324,54.7979,-3.17,4.56
299,Yeppoon,21,AU,1612027208,78,-23.1333,150.7333,24.0,3.09
300,Canutama,69,BR,1612027210,61,-6.5339,-64.3831,31.48,1.88
301,Tuktoyaktuk,40,CA,1612027211,67,69.4541,-133.0374,-38.0,1.54
302,San Jorge,100,AR,1612027207,86,-31.8962,-61.8598,19.44,5.02
303,Ereymentau,100,KZ,1612027219,87,51.6199,73.1033,-6.51,4.05
304,Ambilobe,80,MG,1612027171,90,-13.2,49.05,24.4,0.63
305,Luanda,20,AO,1612027080,62,-8.8368,13.2343,30.0,4.12
306,Ambon City,40,ID,1612027224,89,-3.6954,128.1814,26.0,1.54
307,Port Alfred,0,ZA,1612026794,85,-33.5906,26.891,21.11,0.45
308,Puerto Ayora,0,EC,1612026606,70,-0.7393,-90.3518,29.0,6.69
309,Zhuji,92,CN,1612027229,76,29.7188,120.2423,10.0,1.0
310,Fortuna,90,US,1612027231,71,40.5982,-124.1573,10.56,10.29
311,North Platte,90,US,1612027029,80,41.1239,-100.7654,-3.0,4.63
312,Chateaubelair,20,VC,1612027234,69,13.2833,-61.25,28.0,4.12
313,East London,40,ZA,1612026967,78,-33.0153,27.9116,23.0,3.6
314,Chimbote,73,PE,1612027239,57,-9.0853,-78.5783,25.57,5.15
315,Los Llanos de Aridane,75,ES,1612027240,72,28.6585,-17.9182,19.0,7.2
316,Souillac,75,MU,1612027242,89,-20.5167,57.5167,26.0,2.57
317,Srednekolymsk,65,RU,1612027243,81,67.45,153.6833,-40.39,0.97
318,San Patricio,75,US,1612026787,69,28.017,-97.5169,24.0,12.35
319,Jutaí,34,BR,1612027247,52,-5.1833,-68.9,32.34,1.87
320,Esik,20,KZ,1612027248,86,43.3552,77.4525,-8.0,3.0
321,New Norfolk,7,AU,1612027015,81,-42.7826,147.0587,11.67,1.13
322,Riyadh,0,SA,1612027251,29,24.6877,46.7219,17.0,3.6
323,Bosaso,0,SO,1612027253,73,11.2842,49.1816,23.15,2.82
324,São Filipe,100,CV,1612026957,55,14.8961,-24.4956,24.95,4.81
325,Dunedin,25,NZ,1612027256,81,-45.8742,170.5036,12.22,2.24
326,Half Moon Bay,90,US,1612027258,87,37.4636,-122.4286,10.56,2.73
327,Cartagena,40,CO,1612027033,62,10.3997,-75.5144,31.0,5.14
328,Vila Franca do Campo,75,PT,1612026616,94,37.7167,-25.4333,18.33,6.69
329,Saldanha,0,ZA,1612027266,81,-33.0117,17.9442,19.61,6.03
330,Punta Arenas,40,CL,1612026609,51,-53.15,-70.9167,14.0,12.35
331,Punta Arenas,40,CL,1612026609,51,-53.15,-70.9167,14.0,12.35
332,Teahupoo,75,PF,1612027271,69,-17.8333,-149.2667,26.0,2.57
333,San Luis,93,AR,1612027272,55,-33.295,-66.3356,21.16,5.33
334,Iqaluit,20,CA,1612027274,70,63.7506,-68.5145,-22.78,7.2
335,Monterey,51,US,1612027275,1,36.2505,-121.2516,7.22,1.34
336,Provideniya,61,RU,1612027277,83,64.3833,-173.3,-24.27,3.06
337,Murwillumbah,90,AU,1612027263,100,-28.3167,153.4,22.22,2.06
338,Alyangula,40,AU,1612027280,94,-13.8483,136.4192,27.0,6.69
339,Prome,100,MM,1612027282,33,18.8167,95.2167,20.37,0.2
340,Broken Hill,81,AU,1612027284,43,-31.95,141.4333,22.0,5.66
341,Pangody,100,RU,1612027285,83,65.85,74.4859,-32.32,6.79
342,Almeirim,36,BR,1612027287,61,-1.5233,-52.5817,30.84,2.73
343,Punta Arenas,40,CL,1612026609,51,-53.15,-70.9167,14.0,12.35
344,Brønnøysund,75,NO,1612027290,74,65.4625,12.1997,-4.0,3.09
345,Kharhiāl,0,IN,1612027292,35,20.2833,82.7667,18.22,0.66
346,Uvarovo,90,RU,1612027293,97,51.9849,42.2615,-5.85,3.55
347,Puerto Ayora,0,EC,1612026606,70,-0.7393,-90.3518,29.0,6.69
348,Puerto Ayora,0,EC,1612026606,70,-0.7393,-90.3518,29.0,6.69
349,Siparia,37,TT,1612027298,83,10.1333,-61.5,27.22,0.45
350,São João da Barra,0,BR,1612026819,42,-21.6403,-41.0511,31.0,10.29
351,Koindu,5,GN,1612027301,24,8.4386,-10.3253,34.5,1.98
